Autor, Liczba publikacji, Liczba "slotow", liczba punktow na autora
Jacek Diakun,7,1.6595238095238094,33.19047619047619,i11692,i12226,i12465,i12467,i17009,i20319,i21999,
Ewa Dostatni,9,2.3523809523809525,39.904761904761905,i11692,i11735,i11950,i12467,i13675,i17006,i17009,i20139,i20319,
Damian Grajewski,5,1.1261904761904762,22.523809523809526,i11692,i12467,i17009,i17421,i17426,
Rados³aw Wichniarek,12,2.569047619047619,78.88095238095238,i11692,i12467,i12551,i12558,i16985,i17009,i17425,i21228,i22055,i25236,i25245,i25248,
Anna Karwasz,7,2.3761904761904766,40.023809523809526,i11692,i12467,i12506,i13781,i14563,i17009,i21990,
Wiktor Brzeziñski,1,0.14285714285714285,2.857142857142857,i11692,
Bartosz Ciechanowicz,1,0.14285714285714285,2.857142857142857,i11692,
Adam Hamrol,14,4.352380952380952,199.9047619047619,i11735,i11752,i11918,i11949,i11950,i11953,i12003,i16864,i17006,i20139,i20141,i21228,i21726,i22121,
Agnieszka Kujawiñska,11,2.742857142857143,67.35714285714286,i11752,i11754,i11953,i11954,i11955,i12001,i12003,i17431,i17436,i17971,i21726,
Magdalena Diering,7,1.5761904761904761,51.523809523809526,i11752,i11754,i11954,i11955,i12310,i22270,i24993,
Krzysztof ¯ywicki,11,3.3428571428571434,66.85714285714285,i11752,i11754,i11755,i12215,i12216,i16864,i16866,i16985,i17426,i21990,i21999,
Micha³ Rogalewicz,10,2.2345238095238096,44.69047619047619,i11752,i11754,i11953,i11954,i11955,i12001,i12003,i17521,i17971,i24019,
Przemys³aw Zawadzki,10,3.592857142857143,66.85714285714286,i11755,i12216,i12550,i12551,i17422,i17426,i17427,i17444,i22055,i25248,
Filip Górski,23,6.192857142857143,133.85714285714286,i11755,i12551,i12558,i13717,i14803,i17421,i17422,i17424,i17425,i17426,i17427,i17428,i17436,i17444,i17468,i17473,i17550,i21228,i22055,i24995,i25236,i25245,i25248,
Roman Barczewski,4,1.3666666666666665,34.0,i11869,i18629,i23311,i25546,
Bartosz Jakubek,4,1.3666666666666665,34.0,i11869,i18629,i23311,i25546,
Olaf Ciszak,7,2.95,74.0,i11918,i11944,i11947,i17550,i19681,i22054,i22103,
Stanis³aw Legutko,9,2.05,49.25,i11918,i12948,i12951,i12953,i17492,i17495,i19798,i19878,i25650,
Mieczys³aw Jurczyk,1,0.25,20.0,i11918,
Jakub Wojciechowski,1,0.5,10.0,i11944,
Tomasz Bartkowiak,6,1.7333333333333332,24.166666666666668,i11947,i21920,i22247,i23780,i24184,i25015,
Piotr Jab³oñski,4,0.8500000000000001,17.0,i11947,i13051,i13078,i25888,
Adam Myszkowski,5,1.2333333333333332,14.166666666666668,i11947,i13425,i21920,i22247,i23780,
Marcin Wiœniewski,1,0.2,4.0,i11947,
Marta Grabowska,6,2.283333333333333,40.666666666666664,i11949,i12503,i13675,i20618,i20620,i22121,
Pawe³ Smuœkiewicz,1,0.2,4.0,i11953,
Katarzyna Vogt,1,0.2,4.0,i11954,
Katarzyna Grzybowska,1,0.5,10.0,i11980,
Patrycja Hoffa-D¹browska,5,2.0833333333333335,56.666666666666664,i11980,i15544,i20054,i20055,i23816,
Jakub Hajkowski,6,1.5666666666666667,55.5,i12139,i23451,i23961,i24019,i24841,i25504,
Pawe³ Popielarski,8,3.033333333333333,59.833333333333336,i12139,i19616,i19617,i19625,i23451,i23961,i24841,i25504,
Robert Sika,10,2.7749999999999995,68.0,i12139,i17521,i17550,i19625,i23333,i23451,i24019,i24841,i24861,i25504,
Paulina Rewers,10,3.7833333333333337,72.33333333333333,i12215,i12226,i16864,i16866,i17468,i21990,i21999,i22104,i22620,i25964,
£ukasz Sobków,1,0.25,5.0,i12215,
Dawid Antas,1,0.25,5.0,i12215,
Justyna Trojanowska,15,2.9611111111111112,93.80555555555557,i12226,i12402,i12460,i17458,i17461,i17521,i17549,i18424,i18426,i18429,i18824,i22054,i22104,i22539,i24975,
Beata Starzyñska,7,1.8666666666666665,29.833333333333336,i12310,i17427,i17428,i17431,i17436,i24993,i24995,
Adrian Jakóbczyk,1,0.25,5.0,i12465,
Kamil Nogaj,1,0.25,5.0,i12465,
Micha³ Wieczorowski,10,2.9916666666666667,233.16666666666669,i12470,i12471,i17394,i17395,i22270,i24890,i24892,i24893,i24894,i25269,
Lidia Marciniak-Podsadna,3,0.5416666666666666,10.833333333333334,i12470,i12471,i24892,
Bartosz Gapiñski,8,1.6083333333333334,49.16666666666667,i12471,i13078,i16906,i17394,i17395,i22058,i24890,i24892,
Karolina Szajkowska,1,0.5,10.0,i12506,
Micha³ Jakubowicz,4,1.1666666666666665,18.333333333333336,i12534,i21085,i22265,i22266,
Radomir Majchrowski,3,0.6166666666666667,25.666666666666668,i12534,i20723,i25888,
Pawe³ Buñ,18,4.933333333333333,74.91666666666667,i12551,i12558,i13717,i14803,i17421,i17422,i17425,i17427,i17428,i17436,i17444,i17458,i17461,i17468,i17473,i22055,i22104,i24995,
Karina Sza³añska,1,0.2,4.0,i12551,
Wies³aw Kuczko,6,1.2428571428571429,52.357142857142854,i12558,i17425,i21228,i25236,i25245,i25248,
Kamil Wojtko,3,1.5,22.5,i12935,i12938,i16890,
Piotr Fr¹ckowiak,3,1.5,22.5,i12935,i12938,i16890,
Piotr Czajka,2,0.45,9.0,i13051,i13078,
Adam Patalas,4,0.8500000000000001,10.25,i13051,i16906,i16907,i20109,
Rafa³ Talar,3,0.65,6.25,i13051,i16906,i16907,
Micha³ Regus,2,0.45,9.0,i13051,i13078,
Magdalena K. Wyrwicka,1,0.3333333333333333,6.666666666666667,i13066,
Beata Mrugalska,4,2.333333333333333,79.16666666666667,i13066,i17704,i19608,i19677,
Mateusz Jakubowski,1,0.3333333333333333,6.666666666666667,i13096,
Roman Starosta,4,1.3333333333333333,160.0,i13096,i17005,i23366,i24015,
Pawe³ Fritzkowski,3,0.9166666666666665,18.333333333333336,i13096,i16878,i23366,
Dawid Kucharski,3,1.125,22.5,i13334,i23358,i24892,
Jagoda Nowak,1,0.5,10.0,i13334,
Emil Fabian,1,0.25,5.0,i13400,
Ewa Stachowska,1,0.25,5.0,i13400,
Dominik Rybarczyk,12,6.25,105.0,i13425,i17559,i17617,i17618,i20449,i20650,i23499,i23500,i25841,i25844,i25955,i25989,
Piotr Owczarek,5,1.6666666666666665,33.333333333333336,i13425,i17559,i17614,i20324,i23757,
Piotr Krawiec,24,19.45,720.4166666666667,i13478,i13481,i13482,i13483,i13484,i13485,i13486,i13487,i18900,i19517,i19552,i19575,i19812,i19817,i19825,i19827,i19828,i19829,i19830,i19831,i19832,i22468,i24272,i24766,
Jaros³aw Adamiec,5,4.25,81.25,i13479,i13480,i19517,i19822,i19826,
Krzysztof Talaœka,24,11.65952380952381,261.8690476190476,i13490,i13491,i17893,i19557,i19559,i19564,i19565,i19567,i19569,i19579,i19580,i19581,i19585,i19814,i19819,i22100,i22282,i22285,i22290,i22293,i22295,i23814,i24221,i24222,
Dominik Wilczyñski,18,8.05,100.25,i13492,i13493,i19564,i19565,i19567,i19568,i19571,i19573,i19578,i19582,i19583,i19584,i19586,i19813,i19818,i22277,i22286,i22290,
Joanna Barkowska,1,0.3333333333333333,1.6666666666666667,i13675,
Katarzyna Turkowska,1,0.3333333333333333,6.666666666666667,i13717,
Daria Skuza,2,1.0,12.5,i13781,i14563,
Jakub Krzysztof Grabski,11,3.6,198.66666666666669,i13842,i13843,i20097,i21532,i21596,i24093,i24094,i24095,i24100,i24102,i24218,
Tomasz Walczak,9,2.0166666666666666,40.333333333333336,i13842,i13843,i16878,i20097,i24093,i24094,i24095,i24100,i24102,
Jacek Buœkiewicz,6,4.083333333333333,256.6666666666667,i13842,i18470,i21964,i21965,i22304,i25955,
